px1,py1,pz1,E1,px2,py2,pz2,E2
7.02,-0.368,-12.6,14.4,-7.02,0.368,144,144
41.5,-1.71,445,447,-41.5,1.71,238,242
9.06,-1.04,-44.3,45.2,-9.06,1.04,45.7,46.6
-11,-9.72,33.6,36.7,11,9.72,1260,1260
-22.3,-38.2,-47.5,64.9,22.3,38.2,-76.9,88.7
-37.7,0.105,-155,159,37.7,-0.105,-570,571
-10.8,13,46.4,49.4,10.8,-13,470,471
-43.8,12.8,-155,161,43.8,-12.8,-198,203
-33.7,-12.8,-228,231,33.7,12.8,-51.6,63
15.1,-43.2,-64.4,79,-15.1,43.2,-63.1,77.9
-25.4,-3.34,-86,89.7,25.4,3.34,11.6,28.1
13.6,30.8,155,158,-13.6,-30.8,22.9,40.7
-28.4,1.12,-1120,1120,28.4,-1.12,-139,142
3.72,-3.41,3.76,6.29,-3.72,3.41,-423,423
33.5,-0.156,102,108,-33.5,0.156,556,557
18.3,-14.6,7.01,24.5,-18.3,14.6,-94.6,97.5
-12.6,33.3,-117,123,12.6,-33.3,-16.1,39.1
-29.7,11.2,438,439,29.7,-11.2,67.7,74.8
36.9,24.8,-105,114,-36.9,-24.8,-136,143
-31.3,17.8,-876,877,31.3,-17.8,-199,203
-44.3,-8.51,-1060,1060,44.3,8.51,-1490,1490
-10,-5.31,131,131,10,5.31,-12.6,16.9
-27.1,26.2,194,198,27.1,-26.2,736,737
40.5,-7.5,997,997,-40.5,7.5,325,327
5.94,-30.6,271,273,-5.94,30.6,36.8,48.3
-3.49,5.02,-114,114,3.49,-5.02,18,19
-15.7,30.4,18.8,39,15.7,-30.4,135,139
-25.4,31,-120,127,25.4,-31,-330,332
24.7,-28.2,-28.9,47.4,-24.7,28.2,25.3,45.3
9.04,11.4,-37.7,40.4,-9.04,-11.4,57.5,59.3
43,11.1,730,731,-43,-11.1,469,471
21,16.5,50.7,57.3,-21,-16.5,491,491
-8.89,-28.6,8.82,31.2,8.89,28.6,-72.2,78.2
32.5,11.4,-635,636,-32.5,-11.4,-140,144
15.4,-35.6,572,573,-15.4,35.6,186,190
48,-0.0639,95.2,107,-48,0.0639,167,174
30.8,9.27,-1660,1660,-30.8,-9.27,-296,298
38.1,24.2,-23.5,50.9,-38.1,-24.2,-10.1,46.2
14.9,19.1,-68.3,72.4,-14.9,-19.1,12.7,27.4
8.37,19.2,-52.2,56.2,-8.37,-19.2,-911,911
18.6,-36.5,2610,2610,-18.6,36.5,998,999
42.2,-15,-820,822,-42.2,15,-1210,1210
-42.7,-24.4,-28.3,56.7,42.7,24.4,-40.4,63.7
-12.8,-17.3,-1790,1790,12.8,17.3,-111,113
34.6,-27.7,1010,1020,-34.6,27.7,677,679
-18.7,15.6,-42.6,49,18.7,-15.6,34,41.8
14.9,-29.5,6.17,33.7,-14.9,29.5,105,110
29.4,5.25,-282,284,-29.4,-5.25,-55.7,63.2
-20.6,24.8,-176,179,20.6,-24.8,-24.4,40.4
-6.03,11.8,-42.1,44.1,6.03,-11.8,46.3,48.2
-36.6,-23.1,84.8,95.2,36.6,23.1,201,205
12.7,11.2,13.8,21.8,-12.7,-11.2,415,415
6.87,12.7,135,136,-6.87,-12.7,-10.7,17.9
-11.1,-17.1,-10.5,23,11.1,17.1,99.9,102
0.537,29.5,116,120,-0.537,-29.5,2.64,29.7
-9.76,-9.93,-1.53,14,9.76,9.93,250,250
32.1,30.8,381,384,-32.1,-30.8,627,629
15.1,-24.9,35.1,45.6,-15.1,24.9,310,311
-25.7,35.5,281,284,25.7,-35.5,160,166
-4.57,-18.1,-38.1,42.4,4.57,18.1,44.5,48.3
-21.3,41.4,851,852,21.3,-41.4,721,722
5.97,-1.36,-141,141,-5.97,1.36,14.3,15.6
38.4,12.9,-53.1,66.8,-38.4,-12.9,-161,166
2.77,22.1,-409,410,-2.77,-22.1,-24.4,33
14.4,-26.7,100,105,-14.4,26.7,-0.742,30.4
29.4,-32.7,-238,242,-29.4,32.7,-519,521
8.33,42.4,-765,766,-8.33,-42.4,-392,394
-37.5,5.32,99.8,107,37.5,-5.32,346,348
29,-4.66,23.7,37.7,-29,4.66,-60.6,67.3
43.1,-14.7,664,666,-43.1,14.7,532,534
30.7,11.4,251,253,-30.7,-11.4,1400,1400
46.4,0.932,-50.1,68.3,-46.4,-0.932,-62.7,78
-13,-33.9,-22.1,42.5,13,33.9,36.2,51.3
-12.2,-40.1,142,148,12.2,40.1,52,66.8
9.04,-31.8,38.3,50.6,-9.04,31.8,230,232
40.6,8.64,60.5,73.3,-40.6,-8.64,160,165
-36.6,-3.97,-43.1,56.7,36.6,3.97,1.76,36.9
20,-38.3,-360,362,-20,38.3,-548,549
38.1,-14.3,-681,682,-38.1,14.3,-1850,1850
14.5,-0.471,-64.1,65.7,-14.5,0.471,29.2,32.6
-26,-35.2,-339,342,26,35.2,-192,197
3.22,-41.4,-379,381,-3.22,41.4,-899,900
18.7,26.8,-1.1,32.7,-18.7,-26.8,87.2,93.1
6.71,26.3,1310,1310,-6.71,-26.3,166,168
21.9,6.48,180,182,-21.9,-6.48,2.63,22.9
-16.8,4.92,114,116,16.8,-4.92,-12.8,21.6
-10.5,43.4,197,202,10.5,-43.4,139,146
-37,-23.3,-1150,1150,37,23.3,-663,664
27.2,36.7,213,218,-27.2,-36.7,361,364
35.9,10.5,175,179,-35.9,-10.5,668,669
-19.7,-29.5,-207,210,19.7,29.5,-928,928
-10.7,-3.66,-13.9,17.9,10.7,3.66,101,102
-2.66,48,80.5,93.8,2.66,-48,81.7,94.8
-5.77,36.8,-105,112,5.77,-36.8,-29.2,47.3
-30.6,32.8,58.5,73.8,30.6,-32.8,80.5,92.2
33.4,-12.5,-11.2,37.4,-33.4,12.5,-99.4,106
3.84,37.9,47.8,61.2,-3.84,-37.9,175,179
-17.9,-40.4,157,163,17.9,40.4,80.1,91.5
14.3,19.4,17.5,29.8,-14.3,-19.4,284,285
-0.431,-21.2,-457,458,0.431,21.2,-25.6,33.3
42.7,-15.4,1060,1060,-42.7,15.4,1070,1070
-5.52,-45.4,-110,119,5.52,45.4,-95.8,106
2.74,-29.5,-44.4,53.4,-2.74,29.5,27.6,40.5
9.76,-33.1,-32.5,47.4,-9.76,33.1,29.5,45.4
-30.6,26.1,488,490,30.6,-26.1,624,625
-22.7,-8.34,92.4,95.5,22.7,8.34,1050,1050
-16,35.7,33.6,51.5,16,-35.7,130,136
-26.4,18.2,-56.8,65.2,26.4,-18.2,15,35.4
-40.2,7.99,34.8,53.8,40.2,-7.99,-4.81,41.3
-39.1,-22.5,10.6,46.3,39.1,22.5,4.61,45.3
6.06,44.7,81.9,93.5,-6.06,-44.7,100,110
11,-25.2,-165,168,-11,25.2,-44,51.9
-20.7,-28.7,-6.38,36,20.7,28.7,-55,65.4
6.17,-13.9,34.4,37.6,-6.17,13.9,945,945
-19.6,39.4,-104,112,19.6,-39.4,-56.6,71.6
41.5,7.18,-22.7,47.8,-41.5,-7.18,-17.2,45.5
11,-8.87,99.7,101,-11,8.87,-15.5,20.9
10.5,-37.4,-50,63.3,-10.5,37.4,-204,208
3.94,-45.7,-5.1,46.1,-3.94,45.7,5.67,46.2
6.07,2.8,-1250,1250,-6.07,-2.8,-5.65,8.75
33.3,-1.46,-119,123,-33.3,1.46,-9.19,34.6
13.6,-21.1,-29.1,38.4,-13.6,21.1,50.3,56.2
25,-3.52,47.4,53.7,-25,3.52,-32.9,41.4
-16.8,15.8,363,363,16.8,-15.8,24.8,33.9
11.6,-1.58,-16.2,20,-11.6,1.58,106,106
-15.3,-35.8,86.6,94.9,15.3,35.8,238,241
24.8,36.5,-20.8,48.8,-24.8,-36.5,2.33,44.2
37.9,-25.5,-90.7,102,-37.9,25.5,-65.4,79.8
29.9,-1.76,17.6,34.8,-29.9,1.76,-55,62.7
-0.984,8.32,20.8,22.4,0.984,-8.32,-90.2,90.6
-46.2,-5.48,-86.6,98.3,46.2,5.48,-114,123
-14.2,26.5,-219,222,14.2,-26.5,-25,39.1
5.6,-6,0.328,8.21,-5.6,6,-650,650
-34.8,-6.1,64.6,73.6,34.8,6.1,296,298
-1.18,44.2,111,119,1.18,-44.2,83.9,94.8
28.8,3.21,-2.29,29,-28.8,-3.21,101,105
6.09,5.24,-23.3,24.6,-6.09,-5.24,86.5,86.9
34.2,30.5,-1120,1120,-34.2,-30.5,-983,985
-3.68,37.1,-81.4,89.5,3.68,-37.1,-284,287
-19.4,-34.1,66.9,77.5,19.4,34.1,8.55,40.1
-38.6,-4.63,14.5,41.5,38.6,4.63,69.5,79.7
-13.3,-14.3,-24.1,31,13.3,14.3,64.5,67.3
-5.14,30.4,-197,199,5.14,-30.4,-26.5,40.6
15.3,-17.7,-884,885,-15.3,17.7,-66.5,70.5
-0.764,43.3,-16.3,46.3,0.764,-43.3,7.08,43.9
-43.5,-3.94,30.1,53.1,43.5,3.94,69,81.7
-31.7,30.8,-191,196,31.7,-30.8,-109,118
-6.51,-22.1,2940,2940,6.51,22.1,210,211
19.6,-41,-87.2,98.3,-19.6,41,-109,118
-15.9,43.7,178,184,15.9,-43.7,207,212
6.19,21.5,-8.56,24,-6.19,-21.5,108,110
32.6,-1.93,-271,273,-32.6,1.93,-1460,1460
-8.75,-2.36,-16.3,18.7,8.75,2.36,-1680,1680
-25.5,25.3,-5.91,36.4,25.5,-25.3,56.9,67.3
-29.5,0.411,53.3,60.9,29.5,-0.411,-19.2,35.2
-44.9,-11.7,101,111,44.9,11.7,107,117
-10.6,-31.2,187,190,10.6,31.2,30.4,44.8
21.4,36.4,-44.8,61.6,-21.4,-36.4,-21.5,47.4
-25.3,1.35,-158,160,25.3,-1.35,-37.6,45.3
-38.8,1.45,26.2,46.9,38.8,-1.45,123,129
-22,-42.2,-416,418,22,42.2,-887,888
-21.8,32.6,176,180,21.8,-32.6,51.5,64.8
-16,13.4,-11.4,23.8,16,-13.4,-300,301
-8.8,-35.9,106,113,8.8,35.9,427,429
26.2,-8.73,97.8,102,-26.2,8.73,869,870
-26.1,32.3,257,260,26.1,-32.3,605,607
3.69,43.3,83.3,93.9,-3.69,-43.3,157,163
-25.8,-14.6,197,199,25.8,14.6,1820,1830
40.1,-16.4,-60.3,74.2,-40.1,16.4,-24.9,50
-20.3,18.4,-76.5,81.3,20.3,-18.4,-554,555
4.41,22.7,-2.71,23.3,-4.41,-22.7,-174,175
-8.82,-41.1,145,151,8.82,41.1,177,182
28.5,-1.73,15.9,32.7,-28.5,1.73,-69.7,75.4
0.473,38.1,-41,55.9,-0.473,-38.1,1.88,38.1
5.67,-3.88,13.4,15.1,-5.67,3.88,2410,2410
40.6,14.9,-76.1,87.5,-40.6,-14.9,-107,115
34.1,31.3,247,251,-34.1,-31.3,363,366
37.2,6.56,-115,121,-37.2,-6.56,-24.4,45
1.99,37.2,105,112,-1.99,-37.2,405,406
-30.9,23.9,243,247,30.9,-23.9,791,792
-35,-28.5,-175,181,35,28.5,-105,114
6.55,-47.4,4.55,48.1,-6.55,47.4,0.537,47.9
-34.2,-27,101,110,34.2,27,207,211
35.5,-2.09,-2100,2100,-35.5,2.09,-505,506
33.8,-6.36,234,236,-33.8,6.36,1080,1080
37.3,-18.6,-204,208,-37.3,18.6,-468,469
6.6,-31.1,10.7,33.5,-6.6,31.1,-67.4,74.5
-15.7,-14.1,423,424,15.7,14.1,23.7,31.7
-19.5,-15.4,-1180,1180,19.5,15.4,-115,118
-16.8,-37.7,-2530,2530,16.8,37.7,-896,897
7.25,-39.5,158,163,-7.25,39.5,490,492
-42.6,-27.6,394,397,42.6,27.6,91,104
-9.3,-9.85,-503,503,9.3,9.85,-7.58,15.5
-31.9,4.56,-23.8,40.1,31.9,-4.56,-186,189
-19.9,2.39,390,390,19.9,-2.39,15.8,25.5
-2.38,-45.4,-203,208,2.38,45.4,-182,187
37.8,5.1,191,195,-37.8,-5.1,51.7,64.2
27,30.8,26,48.6,-27,-30.8,-11.9,42.7
-20.2,-0.689,-20.7,28.9,20.2,0.689,66.6,69.7
1.05,37.7,23.8,44.6,-1.05,-37.7,-24.8,45.1
-14.3,6.18,-57.5,59.5,14.3,-6.18,32.5,36.1
-7.57,39.8,-0.189,40.6,7.57,-39.8,-46.2,61.5
36.2,25.9,-666,667,-36.2,-25.9,-659,660
-27.2,2.33,33.7,43.4,27.2,-2.33,361,362
-40.6,-9.39,-276,279,40.6,9.39,-641,642
-10.3,20,-622,622,10.3,-20,-42.4,48
39.6,-22.9,753,754,-39.6,22.9,742,744
22.3,-16.8,-28.2,39.7,-22.3,16.8,46,53.8
-16.7,33,34,50.2,16.7,-33,97.6,104
39.8,6.79,98.5,106,-39.8,-6.79,41.2,57.7
23.5,6.66,166,168,-23.5,-6.66,1940,1940
39.3,-1.75,-5.46,39.8,-39.3,1.75,-70.2,80.5
32.7,20.3,316,319,-32.7,-20.3,1090,1090
-0.167,6.91,1750,1750,0.167,-6.91,8.97,11.3
38.4,14.1,-631,632,-38.4,-14.1,-381,384
13.2,30,-10.9,34.6,-13.2,-30,59.2,67.7
19,36.2,184,189,-19,-36.2,444,446
20.3,-32.6,-43.7,58.2,-20.3,32.6,-155,160
-19.6,24.5,-2070,2070,19.6,-24.5,-331,332
-29.8,16.9,-256,258,29.8,-16.9,-75.6,83
0.603,-45.4,-238,243,-0.603,45.4,-566,567
38.5,-17,-661,663,-38.5,17,-2290,2290
44.9,5.62,-22.2,50.4,-44.9,-5.62,-21.6,50.2
27.7,-18.3,355,357,-27.7,18.3,65.5,73.5
28.3,-22,84.2,91.5,-28.3,22,371,373
14.9,38.8,224,227,-14.9,-38.8,79.8,90
-31.7,18,-7.57,37.2,31.7,-18,51.8,63.4
27.1,1.27,-222,223,-27.1,-1.27,-1940,1940
44.9,-3.39,-163,169,-44.9,3.39,-216,221
-37.1,22.8,7.94,44.3,37.1,-22.8,-19,47.5
-17.7,24.5,-531,532,17.7,-24.5,-73.8,79.7
25.8,-31.6,-6.5,41.3,-25.8,31.6,70.2,81.2
-11.4,3.14,4.82,12.7,11.4,-3.14,489,489
-0.609,-29.9,-30.6,42.8,0.609,29.9,-230,232
8.58,43.9,-794,795,-8.58,-43.9,-1210,1220
6.97,44,-43,61.9,-6.97,-44,-78.9,90.6
-17.1,39.8,-477,479,17.1,-39.8,-914,915
-15.7,-6.97,-18.4,25.2,15.7,6.97,-575,576
19.2,1.48,-331,331,-19.2,-1.48,-10.9,22.1
-14.3,-5.96,1290,1290,14.3,5.96,32.9,36.4
-34.4,-30.1,-60.2,75.6,34.4,30.1,-62,77
-19.3,-31.9,-29.3,47.5,19.3,31.9,24.5,44.6
39.8,12.8,39.6,57.6,-39.8,-12.8,0.418,41.8
-7.88,4.66,-6.31,11.1,7.88,-4.66,224,224
36.8,-23.8,429,431,-36.8,23.8,741,743
-0.0547,-21.2,-1550,1550,0.0547,21.2,-96.6,98.9
3.62,-41.2,113,120,-3.62,41.2,36.9,55.5
-18.7,-9.7,-74.9,77.8,18.7,9.7,19.9,29
34.1,-27.2,-1400,1400,-34.1,27.2,-824,825
-34.3,-3.97,1610,1610,34.3,3.97,271,273
-41.1,-9,-8.96,43,41.1,9,-58.3,71.9
-14.4,-27.5,44,53.8,14.4,27.5,316,318
8.14,-45.6,-361,364,-8.14,45.6,-421,424
15.6,29.7,-364,366,-15.6,-29.7,-67.3,75.2
0.191,39.3,-134,140,-0.191,-39.3,-360,362
31.5,6.07,60.9,68.8,-31.5,-6.07,-26.9,41.9
-0.276,40.9,43.2,59.5,0.276,-40.9,138,144
24.6,34,54.3,68.6,-24.6,-34,11.3,43.4
40.5,22.5,26.5,53.3,-40.5,-22.5,27.6,53.9
-29.2,14.5,222,224,29.2,-14.5,36.3,48.7
-38.7,-19.9,1680,1680,38.7,19.9,2970,2970
-39.7,7.1,11,41.8,39.7,-7.1,-26.2,48.1
-46.2,1.49,-636,637,46.2,-1.49,-758,759
33,-8.52,-26.7,43.3,-33,8.52,-168,171
33.1,23.4,803,804,-33.1,-23.4,1320,1320
4.34,22.2,9.13,24.4,-4.34,-22.2,-104,106
38.6,-21.8,246,250,-38.6,21.8,155,161
42.4,14.8,49.2,66.6,-42.4,-14.8,25.2,51.5
-34.5,-29.4,-306,309,34.5,29.4,-209,214
-37,19.5,-429,431,37,-19.5,-1020,1030
4.93,28.2,-206,208,-4.93,-28.2,-1630,1630
40.9,22.3,-1150,1150,-40.9,-22.3,-1090,1090
16.8,17.9,27,36.5,-16.8,-17.9,-55.7,60.9
-20.5,-36.5,-1820,1820,20.5,36.5,-833,834
14.2,31.3,108,114,-14.2,-31.3,11.5,36.2
-22.6,-7.76,13.9,27.7,22.6,7.76,314,315
9.01,42.8,-856,857,-9.01,-42.8,-1600,1600
22.6,1.42,-23.7,32.8,-22.6,-1.42,59.6,63.8
-16,15.1,-0.735,22,16,-15.1,-161,163
-20,22.3,50,58.3,20,-22.3,388,389
44.9,2.52,443,445,-44.9,-2.52,520,522
27,5.86,14.2,31.1,-27,-5.86,187,189
0.0503,45.2,300,303,-0.0503,-45.2,373,376
-5.16,42.4,-264,267,5.16,-42.4,-133,140
2.43,22.2,39.6,45.5,-2.43,-22.2,-39.3,45.2
-36.4,16.9,57.1,69.8,36.4,-16.9,115,122
25,-2.57,-23.9,34.6,-25,2.57,-321,322
26.6,-30.2,-547,549,-26.6,30.2,-334,336
-4.46,-41.7,-58.9,72.3,4.46,41.7,-148,154
-8.81,-44.6,-679,681,8.81,44.6,-911,912
-2.82,-11.7,-20.6,23.8,2.82,11.7,88.8,89.6
-26.6,-36,-12.9,46.6,26.6,36,-36.4,57.7
-22.1,-10.5,21.9,32.9,22.1,10.5,-61.2,65.9
2.92,-24.2,52.2,57.6,-2.92,24.2,644,644
7.97,26.7,-5,28.3,-7.97,-26.7,94.8,98.8
28.1,-29.2,150,155,-28.1,29.2,452,454
-8.14,29.9,539,540,8.14,-29.9,82.1,87.7
35.3,16.9,1430,1430,-35.3,-16.9,462,463
-32,-8.64,14.8,36.3,32,8.64,-51.5,61.2
-26.5,18,-42.6,53.3,26.5,-18,30.3,44.1
31.6,24,70.3,80.7,-31.6,-24,11.5,41.4
0.0147,18.9,-21.3,28.4,-0.0147,-18.9,-443,443
-36.6,13.3,-56.5,68.7,36.6,-13.3,-1.74,39
2.46,13.1,515,516,-2.46,-13.1,8.95,16.1
-13.1,10.9,22,27.9,13.1,-10.9,-74.6,76.5
-36.7,-8.92,-460,461,36.7,8.92,-281,283
-18.6,26.7,-30.4,44.5,18.6,-26.7,38.3,50.3
-41.8,-28.7,-25.5,56.8,41.8,28.7,-63,80.9
-29.7,-0.371,-503,504,29.7,0.371,-66.6,73
29,-12,-6.02,31.9,-29,12,75.5,81.7
-1.88,46.5,490,492,1.88,-46.5,180,186
31,11.4,-2640,2640,-31,-11.4,-503,505
-6.95,-39.3,-92.9,101,6.95,39.3,-30.1,49.9
-22.4,39.6,-13.7,47.5,22.4,-39.6,-25.2,52
-27.2,4.77,342,343,27.2,-4.77,33.4,43.4
-14.2,-41.2,110,119,14.2,41.2,56.1,71.1
-33.5,25.5,157,162,33.5,-25.5,89,98.4
-40.9,8.4,-38.6,56.9,40.9,-8.4,-116,123
12,-22.5,204,205,-12,22.5,2090,2090
29.6,-24.5,-102,109,-29.6,24.5,-339,341
-37.5,7.65,-188,192,37.5,-7.65,-50.3,63.3
-13.8,-20,-174,175,13.8,20,-2.41,24.4
37.4,-1.59,122,128,-37.4,1.59,450,451
-3.83,52.4,-68,85.9,3.83,-52.4,-22.6,57.2
30.2,-27.9,6.87,41.7,-30.2,27.9,46.7,62.2
-14.8,-27.9,897,897,14.8,27.9,148,151
2.71,42.3,74.4,85.6,-2.71,-42.3,27.4,50.5
-23.6,-23,1330,1330,23.6,23,243,246
38.3,22.9,-5.35,44.9,-38.3,-22.9,1.35,44.6
38.2,-25.2,-452,455,-38.2,25.2,-449,451
-23.3,21.8,-2.2,32,23.3,-21.8,97.1,102
10.3,1.27,-468,468,-10.3,-1.27,-2.26,10.7
-7.3,43.5,-105,114,7.3,-43.5,-174,179
-6.46,25.7,56.3,62.2,6.46,-25.7,661,661
-29.1,-18,201,204,29.1,18,34.4,48.5
-25,-30.7,131,137,25,30.7,444,446
-25.1,10.5,-33.4,43.1,25.1,-10.5,-380,381
-7.45,-0.512,33.2,34,7.45,0.512,-59.6,60
24.9,4.02,-328,329,-24.9,-4.02,-3600,3600
32.4,18.3,-227,230,-32.4,-18.3,-52,63.9
-18.8,12.3,-180,182,18.8,-12.3,-2.57,22.7
-22.2,9.9,-3.48,24.5,22.2,-9.9,-167,169
-15.1,42.1,65.7,79.5,15.1,-42.1,33.9,56.1
-27.3,-14.6,-637,638,27.3,14.6,-93.3,98.3
-35.3,-21.8,159,164,35.3,21.8,377,380
-32.3,30.2,101,110,32.3,-30.2,20.2,48.6
26.3,-5.13,348,349,-26.3,5.13,31.3,41.2
-29.1,-15.6,-22.9,40.2,29.1,15.6,30.4,44.9
-27.4,16.5,686,686,27.4,-16.5,119,123
21.5,-2.78,-17.5,27.9,-21.5,2.78,-371,371
27,14.5,32.2,44.5,-27,-14.5,264,266
-16.6,0.405,-2200,2200,16.6,-0.405,-77.8,79.6
-6.01,-41.5,-1510,1510,6.01,41.5,-588,590
-27.8,-36.8,661,662,27.8,36.8,927,928
23.7,-49.8,256,262,-23.7,49.8,100,114
31.3,25,-18.9,44.3,-31.3,-25,24.8,47.1
-33.4,-25.8,65.4,77.8,33.4,25.8,40.3,58.4
-19.8,27.1,-467,468,19.8,-27.1,-71.3,78.8
-13.5,-38,12.3,42.1,13.5,38,-27.7,48.9
-33,29.9,-405,407,33,-29.9,-691,692
15.7,16.9,-108,110,-15.7,-16.9,8.1,24.4
38.5,23.9,-509,511,-38.5,-23.9,-468,471
16.7,-3.05,640,640,-16.7,3.05,19.2,25.6
30.5,-18.4,-109,115,-30.5,18.4,-488,489
-19,-28.9,66.9,75.3,19,28.9,-3.87,34.8
34.4,17.4,-161,166,-34.4,-17.4,-39.1,54.9
43.7,-8.77,-323,326,-43.7,8.77,-575,576
-34.3,16.8,17.4,42,34.3,-16.8,-34.7,51.6
-40.1,-11.3,-77.8,88.3,40.1,11.3,-21.9,47.1
4.23,22.2,1340,1340,-4.23,-22.2,152,154
7.65,-45.1,-597,598,-7.65,45.1,-830,831
33.1,10.7,-97.4,103,-33.1,-10.7,-7.24,35.6
41.9,-9.08,-279,282,-41.9,9.08,-180,185
-3.37,3.24,137,137,3.37,-3.24,-14.9,15.6
-18,-36.6,-126,133,18,36.6,-346,349
42.8,-5.08,-262,266,-42.8,5.08,-263,267
15.7,-30.3,150,154,-15.7,30.3,740,741
-43.3,-6.23,-88,98.3,43.3,6.23,-165,171
-32.4,1.18,47.9,57.9,32.4,-1.18,301,303
-5.15,-16.6,443,444,5.15,16.6,13.5,22
-38.8,14,-138,144,38.8,-14,-358,360
-6.59,-18.3,97.2,99.1,6.59,18.3,-14.2,24.1
38.2,-17.2,101,110,-38.2,17.2,85.4,95.2
-15.8,-30,-22.5,40.6,15.8,30,38.7,51.4
-43.1,-1.91,-21.1,48,43.1,1.91,15.1,45.7
-24.9,-0.915,351,352,24.9,0.915,26.9,36.7
16,-32.4,669,670,-16,32.4,156,160
-18.7,13.9,-260,261,18.7,-13.9,-12.9,26.6
9.47,19.4,147,149,-9.47,-19.4,-2.8,21.8
7.66,-4.85,659,659,-7.66,4.85,3.68,9.78
-10.8,-25.4,5.71,28.2,10.8,25.4,-96.2,100
-9.63,5.95,23,25.6,9.63,-5.95,-83,83.8
-8.03,-21.8,943,943,8.03,21.8,78.6,82
-29.7,-30.5,297,300,29.7,30.5,133,140
9.77,-43.8,-80.5,92.1,-9.77,43.8,-134,141
0.696,-43.9,4.64,44.1,-0.696,43.9,30,53.2
-29,5.1,451,452,29,-5.1,59.5,66.3
-24,27.7,58.6,69.1,24,-27.7,-3.65,36.9
29.6,21.4,123,129,-29.6,-21.4,505,506
-6.66,-17.5,-53.8,57,6.66,17.5,32.5,37.5
-19.9,-26.4,210,213,19.9,26.4,33.4,47
-28.3,-16.4,80.9,87.3,28.3,16.4,414,415
32.4,32.2,505,508,-32.4,-32.2,710,712
0.768,10.1,35.7,37.1,-0.768,-10.1,-56.5,57.4
34.2,2.75,46.4,57.7,-34.2,-2.75,245,248
25.8,-30.1,-84.5,93.4,-25.8,30.1,-267,270
27.1,21.4,-153,157,-27.1,-21.4,-876,876
-15.6,2.54,9.02,18.2,15.6,-2.54,-124,125
11.3,-30.8,-362,364,-11.3,30.8,-1740,1740
-42.3,16.1,25.5,51.9,42.3,-16.1,22.4,50.5
-20.9,21.6,29.5,42.1,20.9,-21.6,-40.7,50.6
-23.3,-32.5,43.4,59,23.3,32.5,-2.77,40.1
-16.9,-24.2,-9.42,31,16.9,24.2,-142,145
30.3,-32.3,48.6,65.8,-30.3,32.3,29.7,53.4
-24.8,-16.4,40.9,50.5,24.8,16.4,313,315
24.9,-9.74,-100,104,-24.9,9.74,6.18,27.4
-39.5,-21.3,-396,399,39.5,21.3,-236,240
-19.5,-6.33,156,158,19.5,6.33,-2.07,20.6
18.4,2.16,-98.5,100,-18.4,-2.16,-2140,2140
35.7,12.8,259,262,-35.7,-12.8,416,418
15.3,3.84,-0.762,15.8,-15.3,-3.84,238,239
-19.2,15.1,-21.4,32.5,19.2,-15.1,-306,307
-28.2,-33.3,88.5,98.7,28.2,33.3,41,59.9
7.13,21,93,95.6,-7.13,-21,-16.7,27.8
-2.52,-30.5,-1400,1400,2.52,30.5,-211,214
-20.6,-19.2,-345,346,20.6,19.2,-36.5,46.1
33.5,-27.3,2090,2090,-33.5,27.3,1210,1210
31.2,11.1,-174,177,-31.2,-11.1,-1020,1020
30,-12,-1320,1320,-30,12,-227,230
-44.7,4.25,38.4,59.1,44.7,-4.25,16.5,47.9
-12.7,-30.5,18.9,38,12.7,30.5,159,163
11.1,-15.1,-7.76,20.2,-11.1,15.1,-266,267
-39.7,0.317,109,116,39.7,-0.317,23.5,46.2
-1.45,-12.2,-28.2,30.8,1.45,12.2,65.2,66.3
-38,25.2,-23.3,51.2,38,-25.2,-18.9,49.4
-12.1,0.579,-16.6,20.5,12.1,-0.579,96.1,96.8
13,-34.8,-128,134,-13,34.8,-503,504
-5.95,-44.2,53.1,69.3,5.95,44.2,54.2,70.2
25.6,-37.1,-121,129,-25.6,37.1,-121,129
-46.6,-4.31,59.2,75.5,46.6,4.31,64.5,79.6
14,28,739,739,-14,-28,117,121
-17,0.858,134,135,17,-0.858,-8.57,19.1
-4.84,-13.5,23.4,27.4,4.84,13.5,-75.3,76.7
-28.1,-29.5,-867,868,28.1,29.5,-290,293
-30,-15.3,46.7,57.6,30,15.3,-20.3,39.3
-8.74,-27.2,137,140,8.74,27.2,4.87,29
-16.1,-33.6,21.7,43.2,16.1,33.6,-29.9,47.8
-13.6,-13.8,840,841,13.6,13.8,38.1,42.8
-42.4,11.8,-355,358,42.4,-11.8,-245,249
-17.5,19.6,-634,635,17.5,-19.6,-63.8,69
31.6,22,704,705,-31.6,-22,2350,2350
33.8,28,4.91,44.2,-33.8,-28,-21.2,48.7
-0.247,22.7,416,416,0.247,-22.7,54.4,58.9
-5.38,38.1,-21.2,43.9,5.38,-38.1,-101,108
-24.7,-9.86,-23.5,35.5,24.7,9.86,-302,303
-10.2,-45.6,20.3,51,10.2,45.6,3.99,46.9
-10.2,-38.4,704,705,10.2,38.4,234,238
-1.57,12.1,37.6,39.6,1.57,-12.1,-50.3,51.8
-4.42,31.8,2.31,32.2,4.42,-31.8,-83.7,89.6
28,-12.9,17.5,35.4,-28,12.9,173,175
29.7,16.1,589,590,-29.7,-16.1,489,490
27.5,-14,10.8,32.7,-27.5,14,-89.1,94.3
18.7,-9.18,-104,106,-18.7,9.18,-1660,1660
